x1,x2,x3
12634.427022361664,12633.526704556785,12634.56775819138
12630.045949477191,12628.853771647466,12631.853586488754
12630.977376015255,12630.688214554511,12632.954116238356
12632.376239749776,12631.747402273399,12634.33625850826
12633.562063362322,12632.253177213326,12635.690490132747
12630.527902778813,12629.69763619732,12633.571360831804
12636.562548259062,12636.90716543632,12638.277073323712
12635.552772077064,12635.985839941563,12637.438216431558
12638.524043552905,12639.079318363529,12639.673655171373
12638.819764347276,12638.794227262892,12640.801107712738
12637.300914503874,12637.112303470194,12639.003631499614
12636.734166405593,12636.707289607004,12638.399941237183
12640.216524550513,12640.54639629299,12643.657183284051
12641.175915286698,12641.174735170272,12644.293503153865
12641.99280861415,12642.103099711589,12644.92053407273
12639.370966779732,12639.002796221319,12641.656581272793
12642.603638184795,12642.25628919668,12644.261661276822
12640.474959790114,12640.43903422046,12643.803959409293
12647.90725032228,12647.916541258182,12650.715383609988
12646.49003170569,12648.018578843968,12649.18245927599
12646.115352636285,12644.529297128314,12646.894053122853
12646.19141033027,12647.195027982823,12648.763621499511
12646.602200668667,12646.757302961802,12647.840801643997
12645.942165604447,12645.699036913402,12647.627372937091
12650.5727612528,12650.76162952869,12653.154684892708
12646.820504652147,12646.34067957022,12648.793026777394
12650.723891252797,12650.498559503183,12652.901887615348
12650.227310254128,12649.62914405236,12651.89294625823
12650.350104261443,12650.800104803806,12651.82525645952
12647.99570122405,12648.27045368511,12649.304140806698
12652.964650969167,12654.124370346168,12654.643189722454
12653.43985394416,12653.338679131472,12655.049454062504
12651.849478243186,12652.311998152878,12653.63205374055
12651.047952775267,12651.766805701925,12652.977190445314
12652.585239898062,12652.975027327831,12653.783068243756
12652.841301689117,12653.506304026154,12654.372670340334
12651.744784476234,12652.238996015767,12653.863317523972
12652.063030954767,12653.334673436946,12654.320434680001
12652.854359546634,12654.03539847736,12654.704173823127
12651.851715621511,12652.365852948542,12654.03322122939
12649.400532279147,12649.796603069988,12651.55995490143
12651.517833551405,12651.517754626424,12653.735634111092
12653.03875755793,12653.226192234535,12654.635430604294
12651.07074134831,12651.264989557985,12653.226663515186
12651.26136878179,12650.658486508708,12653.439939043443
12649.10599289601,12649.186581240345,12651.343120294887
12650.083176258127,12650.256075399713,12652.09499592629
12650.17583462856,12649.137233658683,12652.38296107652
12651.432232996316,12652.60228606223,12653.436493355483
12649.86977741047,12652.149542883357,12652.704646010176
12651.217002595873,12652.445431942164,12653.163442796973
12648.826947706242,12650.18271351902,12650.73535059932
12651.341172191973,12652.031586890738,12653.455360438742
12649.399977778861,12650.294967918975,12651.54722919584
12652.053668840397,12651.777534708974,12653.188639707183
12651.585872885393,12651.43210867855,12653.345750785953
12650.414009289103,12650.280228659325,12652.190580573842
12651.000680098034,12651.029689673716,12652.67439812125
12649.759806628766,12650.184342967152,12651.698820090622
12651.113331747698,12651.258068484196,12652.650500593956
12646.500495938795,12647.963778363817,12648.157378207727
12647.530611938686,12648.80312443013,12649.62711599989
12647.034557698096,12646.755910353342,12648.391868012588
12649.086936628846,12650.110608441973,12651.056331155403
12646.726784725064,12648.336743204829,12649.22755947431
12648.085881654117,12648.790982818235,12650.474828337716
12643.250161552704,12645.036309686573,12645.702788144694
12641.9914738066,12643.820772191788,12644.388010746396
12641.916953838641,12643.480336085519,12644.903453363504
12624.844721618945,12627.526354143736,12627.912203316631
12627.883412967112,12630.11037421417,12631.20218581302
12627.09686616805,12630.181933279391,12631.238954246704
12624.972165329735,12626.729094847995,12629.096015818408
12626.275673583275,12628.259299941157,12629.869280079276
12625.921345152276,12628.28657852096,12628.495851893778
12626.219282704575,12628.30746775161,12629.275668964685
12626.074707596319,12627.35287227195,12628.542981437406
12626.191768879891,12629.101761115335,12629.446822742393
12622.305980698919,12624.734772713922,12625.485098665533
12623.38379360521,12625.93619738333,12626.2663663183
12623.260643229622,12626.095034227734,12627.061149062538
12623.388565638295,12626.742382739561,12626.997644201128
12624.22178319912,12627.614898013282,12627.05350496712
12626.201887304002,12628.317704055868,12628.126002113553
12625.61204328656,12629.488906625305,12629.34213667357
12623.727170577446,12628.846676472407,12627.68187739954
12624.743607145076,12629.133436975899,12627.692468514162
12625.760963945797,12630.080567599289,12627.906765422013
12627.641765473896,12632.272944139477,12630.75375204192
12626.301029877726,12631.960145353125,12629.27963164865
12621.379316610317,12628.26876276543,12624.213036495943
12624.136605400394,12631.153124830262,12627.168012851173
12625.304696157606,12632.173810917107,12627.561793210389
12623.63401326306,12630.145412199947,12626.079866929396
12627.80382086601,12633.917037739086,12629.863391229925
12629.660339744463,12635.163162309253,12631.349987054766
12625.76409340348,12633.518188639264,12627.962160227224
12626.961645369007,12633.572394243489,12628.560251304862
12628.901998981883,12635.097426044065,12630.57995767711
12631.12767602153,12638.068137728893,12632.919297169452
12630.598776952796,12638.099185831874,12631.147782583232
12631.55263337679,12639.435651019054,12634.264115890435
12630.093002545294,12637.90371975308,12631.401366141035
12633.325324858728,12641.130130843074,12633.974109884653
12634.377741545628,12642.311595845622,12634.471671467369
12636.49162955356,12644.862367460562,12635.729410822221
12632.450646677842,12638.79643842642,12633.49146211557
12631.6298231337,12638.74540165269,12631.823839562545
12645.632547126828,12654.903642621062,12646.752848013142
12651.753635315235,12661.102960555818,12651.284158604094
12636.563242543534,12644.577084256309,12637.233738489553
12652.38822197275,12662.154733911193,12651.646190587388
12617.791932573467,12622.507546870682,12620.197119012586
12635.659054371788,12641.691487842514,12636.10831041763
